Date,Close
2024-01-01,132.16801139162675
2024-01-02,112.53510080947501
2024-01-03,176.55323341338402
2024-01-04,150.75532192904402
2024-01-05,104.01446855523075
2024-01-06,118.50458112616073
2024-01-07,144.30836331291906
2024-01-08,107.28203659499226
2024-01-09,131.28000847132557
2024-01-10,113.38456389611333
2024-01-11,195.68431301440592
2024-01-12,109.87745749109864
2024-01-13,198.01229161566903
2024-01-14,144.11532131935326
2024-01-15,150.4446075356638
2024-01-16,176.95056051426442
2024-01-17,133.43967522442276
2024-01-18,146.92005659122898
2024-01-19,115.42739371518253
2024-01-20,100.06633663951212
2024-01-21,102.2362525253568
2024-01-22,187.87738613066236
2024-01-23,113.66357826054846
2024-01-24,166.56980860856964
2024-01-25,195.04779025613078
2024-01-26,136.61937655454471
2024-01-27,112.9213729969187
2024-01-28,180.14664984690438
2024-01-29,197.16981384682657
2024-01-30,163.2705904125076
