Date,Close
2024-01-01,121.28972040434645
2024-01-02,194.59897317787392
2024-01-03,137.34907474791734
2024-01-04,128.2421555451038
2024-01-05,126.81166186040973
2024-01-06,139.22657584507385
2024-01-07,114.2476190486711
2024-01-08,109.04340203114656
2024-01-09,170.68036145874925
2024-01-10,103.03802980869335
2024-01-11,175.3718363929818
2024-01-12,187.82310449831505
2024-01-13,100.02772992689073
2024-01-14,112.68682579568056
2024-01-15,138.6427658642072
2024-01-16,106.79000043189426
2024-01-17,121.39567647783106
2024-01-18,176.27498754806754
2024-01-19,178.75083013338138
2024-01-20,131.91652156107253
2024-01-21,153.45106960493808
2024-01-22,169.94883027112266
2024-01-23,142.0098916977105
2024-01-24,114.23067730280178
2024-01-25,100.08060198904703
2024-01-26,188.82795270661012
2024-01-27,150.9542907913932
2024-01-28,186.67016627309198
2024-01-29,131.19236883207034
2024-01-30,177.83728290767698
